timestamp,zone,cuisine_category,sessions,listing_views,menu_views,cart_adds,checkout_starts,orders_completed,gmv_aed,avg_basket_size_aed,promo_spend_aed,net_take_rate_pct,kitchen_prep_time_min,avg_delivery_time_min,driver_supply_gap_pct
2026-09-04 12:00,Downtown Dubai,Burgers & Fast Food,1061,949,555,220,161,135,10879.75,80.59,1228.83,16.96,20.0,35.5,4.5
2026-09-04 12:00,Downtown Dubai,Middle Eastern / Shawarma,1062,962,538,235,168,149,12117.25,81.32,905.53,17.72,22.5,36.7,4.1
2026-09-04 12:00,Downtown Dubai,Healthy & Bowls,969,900,515,219,163,137,11503.81,83.97,1132.78,18.49,20.2,36.5,6.0
2026-09-04 12:00,Downtown Dubai,Asian / Sushi,998,900,497,198,142,119,9521.58,80.01,804.57,17.56,21.4,39.1,6.1
2026-09-04 12:00,Downtown Dubai,Coffee & Desserts,1115,1042,626,254,173,147,11031.0,75.04,1345.71,17.56,18.5,34.9,7.5
2026-09-04 12:00,Dubai Marina,Burgers & Fast Food,1088,964,542,237,175,153,12190.34,79.68,1342.83,17.61,18.5,33.4,8.3
2026-09-04 12:00,Dubai Marina,Middle Eastern / Shawarma,1112,999,586,232,173,146,12863.92,88.11,1429.14,18.48,19.4,36.0,5.1
2026-09-04 12:00,Dubai Marina,Healthy & Bowls,998,927,560,226,168,144,12383.85,86.0,1105.3,17.45,23.2,37.5,5.1
2026-09-04 12:00,Dubai Marina,Asian / Sushi,1050,977,568,237,168,141,12932.3,91.72,1296.86,17.49,22.0,37.0,5.1
2026-09-04 12:00,Dubai Marina,Coffee & Desserts,1075,968,551,231,171,151,11185.53,74.08,1251.38,17.61,22.7,36.9,8.9
2026-09-04 12:00,Business Bay,Burgers & Fast Food,808,754,436,189,135,111,9275.45,83.56,706.59,17.06,22.6,37.5,7.7
2026-09-04 12:00,Business Bay,Middle Eastern / Shawarma,840,747,463,177,125,104,8497.12,81.7,872.03,16.97,23.1,37.4,6.2
2026-09-04 12:00,Business Bay,Healthy & Bowls,828,776,458,197,147,121,8811.57,72.82,1099.88,17.55,20.1,35.4,8.7
2026-09-04 12:00,Business Bay,Asian / Sushi,829,778,477,202,152,130,11805.99,90.82,850.38,18.02,20.9,37.4,5.5
2026-09-04 12:00,Business Bay,Coffee & Desserts,759,693,420,171,119,106,8067.91,76.11,873.02,17.51,22.0,37.9,4.3
2026-09-04 12:00,JLT,Burgers & Fast Food,668,609,395,160,118,99,8492.35,85.78,978.82,18.2,23.3,38.3,7.6
2026-09-04 12:00,JLT,Middle Eastern / Shawarma,590,537,348,132,94,82,6046.01,73.73,675.12,16.63,18.9,34.0,6.4
2026-09-04 12:00,JLT,Healthy & Bowls,671,628,354,144,101,90,7935.86,88.18,744.77,16.95,23.3,41.2,8.8
2026-09-04 12:00,JLT,Asian / Sushi,646,578,351,149,110,96,7120.79,74.17,715.25,16.79,18.3,33.8,7.9
2026-09-04 12:00,JLT,Coffee & Desserts,669,619,367,153,106,92,8071.06,87.73,847.22,18.16,23.6,41.5,5.7
2026-09-04 12:00,Deira,Burgers & Fast Food,675,596,361,141,104,86,6985.07,81.22,644.98,16.63,18.5,35.2,7.2
2026-09-04 12:00,Deira,Middle Eastern / Shawarma,613,545,306,124,85,72,6122.78,85.04,487.56,17.16,18.0,35.0,8.3
2026-09-04 12:00,Deira,Healthy & Bowls,588,530,320,124,88,73,6298.56,86.28,589.46,17.27,22.3,40.1,4.4
2026-09-04 12:00,Deira,Asian / Sushi,661,606,335,130,90,75,6676.66,89.02,607.92,17.65,22.2,39.2,5.0
2026-09-04 12:00,Deira,Coffee & Desserts,627,581,346,148,103,86,6811.59,79.2,628.41,17.99,18.6,34.5,5.4
2026-09-04 13:00,Downtown Dubai,Burgers & Fast Food,1122,1042,621,238,178,156,13711.86,87.9,1540.88,18.28,21.5,37.2,8.8
2026-09-04 13:00,Downtown Dubai,Middle Eastern / Shawarma,991,917,532,208,151,127,10959.07,86.29,1240.69,16.68,22.6,38.8,8.7
2026-09-04 13:00,Downtown Dubai,Healthy & Bowls,998,910,567,241,167,138,12431.4,90.08,1130.35,18.11,19.2,35.3,4.5
2026-09-04 13:00,Downtown Dubai,Asian / Sushi,1095,982,633,248,177,148,12436.89,84.03,1122.49,17.2,21.0,36.9,8.8
2026-09-04 13:00,Downtown Dubai,Coffee & Desserts,1035,934,598,232,163,144,13277.41,92.2,1350.5,16.82,20.7,35.5,6.2
2026-09-04 13:00,Dubai Marina,Burgers & Fast Food,1043,924,542,209,143,119,9458.16,79.48,1070.23,18.45,18.7,33.0,7.6
2026-09-04 13:00,Dubai Marina,Middle Eastern / Shawarma,1011,918,532,210,145,121,10422.01,86.13,1186.87,17.24,19.6,34.9,8.6
2026-09-04 13:00,Dubai Marina,Healthy & Bowls,1127,1046,677,258,193,160,13612.83,85.08,1039.57,17.18,20.8,35.4,7.3
2026-09-04 13:00,Dubai Marina,Asian / Sushi,1112,1027,644,278,193,163,15037.57,92.26,1510.61,17.83,22.7,39.2,8.1
2026-09-04 13:00,Dubai Marina,Coffee & Desserts,1123,1039,618,246,171,150,10810.65,72.07,1483.9,18.0,23.7,37.8,4.7
2026-09-04 13:00,Business Bay,Burgers & Fast Food,792,702,428,175,122,108,9657.57,89.42,938.66,16.92,18.5,35.4,8.4
